"","title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","unclear_address","status","unique.id"
"32","65 Radcliffe Street","843/577-3372  1880s home","65 Radcliffe St","Accommodations","(MW-1990-2003),(NS-1998-2005),(GO-2000-2003)","Charleston","SC",2003,"","65 Radcliffe St, Charleston, SC",32.7873842,-79.9438297,"65 radcliffe st, charleston, sc 29403, usa","","","d-2003-02591"
"33","Blue Heron Inn","(btwn 2nd & Ashley), Folly Beach  843/588-3343, 877/488-3343  1-bdrm villas w/ ocean view, weekly rental","122 E Artic Ave","Accommodations","(GF-1994-2003),(NS-1998-2005)","Charleston","SC",2003,"","122 E Artic Ave, Charleston, SC",32.6560173,-79.9385164,"122 e arctic ave, folly beach, sc 29439, usa","","","d-2003-02592"
"34","Charleston Beach B&B","Folly Beach 29439  843/588-9443  full brkfst, hot tub, ocean views","118 W Artic","Accommodations","(MW-1990-2003),(SW-1990-2005),(N-1990-2005),(WC-1994-2005),(GO-2000-2003)","Charleston","SC",2003,"","118 W Artic, Charleston, SC",32.6549607,-79.9405294,"118 w arctic ave, folly beach, sc 29439, usa","","","d-2003-02593"
"35","A B&B @ 4 Unity Alley","843/577-6660  full brkfst, parking inside","4 Unity Alley","Accommodations","(GS-1999-2003),(NS-1998-2005)","Charleston","SC",2003,"","4 Unity Alley, Charleston, SC",32.7782311,-79.927597,"4 unity aly, charleston, sc 29401, usa","","","d-2003-02594"
"36","The Gateway House Inn","(at King & Calhoun St)  843/722-3969, 800/706-1802  B&B, some shared baths, pets ok","20 Burns Ln","Accommodations","(GF-1994-2003),(NS-1998-2005)","Charleston","SC",2003,"","20 Burns Ln, Charleston, SC",32.7856133,-79.9349934,"20 burns ln, charleston, sc 29401, usa","","","d-2003-02595"
"37","Patrick's Pub","843/571-3435  4pm-2am, patio bar","1377 Ashley River Rd/ Hwy 61","Bars","(MW-1990-2003),(NH-1990-2005),(TG-1997-2005),(E-1975-2003),(K-1994-2003),(S-2003-2005),(WC-1994-2005)","Charleston","SC",2003,"","1377 Ashley River Rd/ Hwy 61, Charleston, SC",32.7978364,-80.0035859,"1377 ashley river rd #61, charleston, sc 29407, usa","","","d-2003-02596"
"38","Height of Folly","Folly Beach 843/588-6200  hot tub","1309 E Ashley Ave","Accommodations","(M-1996-2005),(GO-2000-2003)","Charleston","SC",2003,"","1309 E Ashley Ave, Charleston, SC",32.6668806,-79.9131391,"1309 e ashley ave, folly beach, sc 29439, usa","","","d-2003-02597"
"39","Deja Vu II","843/554-5959  5pm-3am, from 8pm Fri-Sat, clsd Sun-Tue","4628 Spruill Ave","Nightclubs","(W-1990-2005),(D-1965-2003),(F-1990-2003),(E-1975-2003),(K-1994-2003),(PC-1990-2005),(WC-1994-2005),(GO-2000-2003)","Charleston","SC",2003,"","4628 Spruill Ave, Charleston, SC",32.8792875,-79.979937,"4628 spruill ave, north charleston, sc 29405, usa","","","d-2003-02598"
"40","Blossom Cafe","843/722-9200  11:30am-11pm, till midnight wknds","171 E Bay St","Restaurants","","Charleston","SC",2003,"","171 E Bay St, Charleston, SC",32.7788941,-79.9273582,"171 e bay st, charleston, sc 29401, usa","","","d-2003-02599"
"41","Bear E Patch","843/762-6555  7am-8pm, 9am-3pm Sun, patio","801 Folly Rd","Cafes","(WC-1994-2005)","Charleston","SC",2003,"","801 Folly Rd, Charleston, SC",32.7396025,-79.9674338,"801 folly rd, charleston, sc 29412, usa","","","d-2003-02600"
"42","Cafe Suzanna","843/588-2101  5:30pm-9:30pm, Sun brunch, clsd Mon-Tue, live jazz","4 Center St","Restaurants","(E-1975-2003)","Charleston","SC",2003,"","4 Center St, Charleston, SC",32.7996003,-79.943987,"4 c st, charleston, sc 29403, usa","","","d-2003-02601"
"43","Tomato Shed Cafe","(at Stono Farm Market & Bakery), Johns Island  843/559-9999, 866/877-8666  9am-6pm (lunch 11:30am-3pm), crabcakes & more, on-site bakery","842 Main Rd","Cafes","(GO-2000-2003)","Charleston","SC",2003,"","842 Main Rd, Charleston, SC",32.7608926,-80.1069339,"842 main rd, johns island, sc 29455, usa","","","d-2003-02602"
"44","Joe Pasta","(at John)  843/965-5252  lunch & dinner, also full bar","428 King St","Restaurants","","Charleston","SC",2003,"","428 King St, Charleston, SC",32.7883734,-79.9377096,"428 king st, charleston, sc 29403, usa","","","d-2003-02603"
"45","Vickery's of Beaufain Street","(at St Philip)  843/577-5300  11:30am-2am, Cuban influence, full bar","15 Beaufain St","Restaurants","(*-1965-2005)","Charleston","SC",2003,"","15 Beaufain St, Charleston, SC",32.7808639,-79.9344427,"15 beaufain st, charleston, sc 29401, usa","","","d-2003-02604"
"46","Mickey's","(at King St)  843/723-7121  7am-3pm, till 4pm Fri-Sat","137 Market St","Restaurants","(*-1965-2005)","Charleston","SC",2003,"","137 Market St, Charleston, SC",32.7804828,-79.9326481,"137 market st, charleston, sc 29401, usa","","","d-2003-02605"
"47","St Johns Island Cafe","St Johns Island 843/559-9090  brkfst, lunch & dinner, Sun brunch, Southern","3140 Maybank Hwy","Restaurants","(*-1965-2005),(BW-1990-2003)","Charleston","SC",2003,"","3140 Maybank Hwy, Charleston, SC",32.7343413,-80.0568649,"3140 maybank hwy, johns island, sc 29455, usa","","","d-2003-02606"
"48","Historic Charleston Foundation","843/723-1623 call for info on city walking tours","108 Meeting St","Entertainment & Recreation","","Charleston","SC",2003,"","108 Meeting St, Charleston, SC",32.777642,-79.9308001,"108 meeting st, charleston, sc 29401, usa","","","d-2003-02607"
"49","C&C Adult Video","843/763-0344  24hrs","904 St Andrews Blvd","Erotica","","Charleston","SC",2003,"","904 St Andrews Blvd, Charleston, SC",32.7925909,-79.9888597,"904 st andrews blvd, charleston, sc 29407, usa","","","d-2003-02608"
"50","AA Gay/ Lesbian","(in the house behind St Martin's Church)  803/254-5301 (AA#)  8pm Fri","5220 Clemson Rd","Info Lines & Services","","Columbia","SC",2003,"","5220 Clemson Rd, Columbia, SC",34.1423895,-80.9417022,"5220 clemson rd, columbia, sc 29229, usa","","","d-2003-02895"
"51","Candy Shop","Fri-Sat only, unconfirmed","1903 Two Notch Rd","Nightclubs","(M-1996-2005),(D-1965-2003),(MR-AF-1994-2003),(PC-1990-2005)","Columbia","SC",2003,"","1903 Two Notch Rd, Columbia, SC",34.0175913,-81.0149607,"1903 two notch rd, columbia, sc 29204, usa","","","d-2003-02896"
"52","South Carolina Pride Center","803/771-7713  24hr Message, live 2pm-10pm Sat","1108 Woodrow St","Info Lines & Services","","Columbia","SC",2003,"","1108 Woodrow St, Columbia, SC",34.0044819,-81.0047132,"1108 woodrow st, columbia, sc 29205, usa","","","d-2003-02897"
"53","Capital Club","803/256-6464  5pm-2am","1002 Gervais St","Bars","(M-1996-2005),(NH-1990-2005),(P-2003-2005),(PC-1990-2005),(WC-1994-2005)","Columbia","SC",2003,"","1002 Gervais St, Columbia, SC",34.0001133,-81.0365279,"1002 gervais st, columbia, sc 29201, usa","","","d-2003-02898"
"54","PTS 1109","(at Gervais St)  803/253-8900  5pm-4am, till 2am Sat-Sun","1109 Assembly St","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005),(MR),(TG-1997-2005),(PC-1990-2005),(GO-2000-2003)","Columbia","SC",2003,"","1109 Assembly St, Columbia, SC",33.999792,-81.035081,"1109 assembly st, columbia, sc 29201, usa","","","d-2003-02899"
"55","Metropolis/ OZ","(at Barnwell)  803/799-8727  9am-4am, 7pm-2am Sun, clsd Mon-Th; also 'Oz' from 9pm","1800 Blanding St","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005),(PC-1990-2005)","Columbia","SC",2003,"","1800 Blanding St, Columbia, SC",34.0106699,-81.0263804,"1800 blanding st, columbia, sc 29201, usa","","","d-2003-02900"
"56","The Revolution","(at Park St)  803/254-4645  10pm-4am, clsd Mon-Wed, HiNRG club w/ 2 levels","920 Lady St","Nightclubs","(MW-1990-2003),(D-1965-2003),(MR),(E-1975-2003),(K-1994-2003),(DS-2002-2003),(S-2003-2005),(V-1986-2005),(18+-1994-2003),(PC-1990-2005),(WC-1994-2005),(GO-2000-2003)","Columbia","SC",2003,"","920 Lady St, Columbia, SC",34.0012887,-81.0376376,"920 lady st, columbia, sc 29201, usa","","","d-2003-02901"
"57","Moxie","803/929-0644  11am-6pm, clsd Sun-Mon","631-C Harden St","Retail Shops","","Columbia","SC",2003,"","631-C Harden St, Columbia, SC",33.9983191,-81.0158922,"631 harden st suite c, columbia, sc 29205, usa","","","d-2003-02902"
"58","Intermezzo","803/799-2276  10am-11pm, till midnight Th-Sat, lgbt section","2015 Devine St","Bookstores","(WC-1994-2005)","Columbia","SC",2003,"","2015 Devine St, Columbia, SC",33.9989254,-81.0166503,"2015 devine st, columbia, sc 29205, usa","","","d-2003-02903"
"59","Video Magic","803/786-8125","5445 Two Notch Rd","Erotica","","Columbia","SC",2003,"","5445 Two Notch Rd, Columbia, SC",34.0506524,-80.9847246,"5445 two notch rd, columbia, sc 29204, usa","","","d-2003-02904"
"60","Warehouse 250","843/667-3214  5pm-2am, till 4am wknds","1719 Irby St","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005)","Florence","SC",2003,"","1719 Irby St, Florence, SC",34.1614424,-79.7671063,"1719 s irby st, florence, sc 29505, usa","","","d-2003-03380"
"61","Walnut Lane Inn","(at Groce Rd), Lyman  864/949-7230  full brkfst","110 Ridge Rd","Accommodations","(GF-1994-2003),(GO-2000-2003)","Greenville","SC",2003,"","110 Ridge Rd, Greenville, SC",34.8176427,-82.3433277,"110 ridge rd, greenville, sc 29607, usa","","","d-2003-03610"
"62","The Castle","864/235-9949  9:30pm-4am, till 3am Sun, clsd Mon-Th","8-B Legrand Blvd","Nightclubs","(*-1965-2005),(MW-1990-2003),(D-1965-2003),(DS-2002-2003),(S-2003-2005),(V-1986-2005),(YC-1969-2005),(PC-1990-2005)","Greenville","SC",2003,"","8-B Legrand Blvd, Greenville, SC",34.8361438,-82.3681104,"8 legrand blvd b, greenville, sc 29607, usa","","","d-2003-03611"
"63","Club 621","864/234-6767  7pm-4am, till 5am Fri, 3pm-2am Sun","621 Airport Rd","Nightclubs","(*-1965-2005),(M-1996-2005),(D-1965-2003),(V-1986-2005),(SW-1990-2005),(PC-1990-2005),(WC-1994-2005)","Greenville","SC",2003,"","621 Airport Rd, Greenville, SC",34.844207,-82.345185,"621 airport rd, greenville, sc 29607, usa","","","d-2003-03612"
"64","New Attitude","864/233-1387  11pm-4:30am Th-Sun","706 W Washington St","Nightclubs","(*-1965-2005),(MW-1990-2003),(D-1965-2003),(MR-AF-1994-2003),(PC-1990-2005)","Greenville","SC",2003,"","706 W Washington St, Greenville, SC",34.8553261,-82.4088436,"706 w washington st, greenville, sc 29601, usa","","","d-2003-03613"
"65","The Lily Pad","843/995-0671 1 blk to beach, hot tub, kitchenettes","407 12th Ave S","Accommodations","(GS-1999-2003),(GO-2000-2003)","Myrtle Beach","SC",2003,"","407 12th Ave S, Myrtle Beach, SC",33.6774662,-78.9003819,"407 12th ave s, myrtle beach, sc 29577, usa","","","d-2003-04795"
"66","Club Blue","(at N Kings Hwy)  843/448-0077  5pm-5am, till 2am wknds","515 9th Ave N","Bars","(GF-1994-2003),(D-1965-2003),(F-1990-2003),(K-1994-2003),(DS-2002-2003),(S-2003-2005),(WC-1994-2005),(GO-2000-2003)","Myrtle Beach","SC",2003,"","515 9th Ave N, Myrtle Beach, SC",33.6943643,-78.8834617,"515 9th ave n, myrtle beach, sc 29577, usa","","","d-2003-04796"
"67","Time Out","(at Oak)  843/448-1180  5pm-close, till 2am Sat, karaoke Tue & Sun, patio bar","520 8th Ave N","Bars","(*-1965-2005),(M-1996-2005),(NH-1990-2005),(D-1965-2003),(K-1994-2003),(S-2003-2005),(PC-1990-2005),(WC-1994-2005)","Myrtle Beach","SC",2003,"","520 8th Ave N, Myrtle Beach, SC",33.693884,-78.884682,"520 8th ave n, myrtle beach, sc 29577, usa","","","d-2003-04797"
"68","Teakwood Inn","(at 72nd Ave)  843/449-6700, 800/868-0046  hotel","7201 N Ocean Blvd","Accommodations","(GS-1999-2003),(SW-1990-2005),(GO-2000-2003)","Myrtle Beach","SC",2003,"","7201 N Ocean Blvd, Myrtle Beach, SC",33.7411983,-78.819023,"7201 n ocean blvd, myrtle beach, sc 29572, usa","","","d-2003-04798"
"69","Cat and Mouse Club","(at Hwy 17 & 3rd Ave)  843/445-2878  4pm-close","212 N Kings Hwy","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005)","Myrtle Beach","SC",2003,"","212 N Kings Hwy, Myrtle Beach, SC",33.6870904,-78.8885884,"212 n kings hwy, myrtle beach, sc 29577, usa","","","d-2003-04799"
"70","Rainbow House","843/626-7298  3pm-6am, till 2am wknds, patio","815 N Kings Hwy","Nightclubs","(MW-1990-2003),(D-1965-2003),(K-1994-2003),(WC-1994-2005)","Myrtle Beach","SC",2003,"","815 N Kings Hwy, Myrtle Beach, SC",33.6938123,-78.8833558,"815 n kings hwy, myrtle beach, sc 29577, usa","","","d-2003-04800"
"71","X-citement Video","843/448-0744  also 3106 Hwy 17 S, 843/272-0744, 24hrs","2123 Hwy 501","Erotica","","Myrtle Beach","SC",2003,"","2123 Hwy 501, Myrtle Beach, SC",33.7058293,-78.9102967,"2123 us-501, myrtle beach, sc 29577, usa","","","d-2003-04801"
"72","Hideaway","803/328-6630  8pm-close Th-Sat","405 Baskins Rd","Bars","(MW-1990-2003),(NH-1990-2005),(PC-1990-2005)","Rock Hill","SC",2003,"","405 Baskins Rd, Rock Hill, SC",34.9435787,-80.9875283,"405 e baskins rd, rock hill, sc 29730, usa","","","d-2003-06113"
"73","The Cove Lounge & Club","864/576-2683  8pm-2am, patio","9112 Greenville Hwy","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-2003-2005),(PC-1990-2005),(WC-1994-2005)","Spartanburg","SC",2003,"","9112 Greenville Hwy, Spartanburg, SC",34.9507334,-81.9499806,"greenville st, spartanburg, sc 29301, usa","","","d-2003-06918"
"74","Country Place B&B","864/944-6924  full brkfst, on 100 acres, primitive camping","490 Country Place Dr","Accommodations","(M-1996-2005),(SW-1990-2005),(N-1990-2005),(GO-2000-2003)","Walhalla","SC",2003,"","490 Country Place Dr, Walhalla, SC",34.848183,-83.016487,"490 country pl dr, walhalla, sc 29691, usa","","","d-2003-07324"
"75","'Rest Stop'","1-26 S. 2 mi. off Rt. 11","","Cruising Areas","Cruisy Area","Inman","SC",1988,"",", SC",35.047062,-82.090109,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-04321"
"76","Affairs","","712 Hunger St.","Bars/Clubs","(N-1988-1989),(PT-1977-1989)","Charleston","SC",1988,"","712 Hunger St., Charleston, SC",32.8682105,-79.9760164,"712 hunter st, north charleston, sc 29405, usa","","Google Verified Location","d-1988-05107"
"77","Carolina Book Stores","","River St.","Book Store","","Charleston","SC",1988,"","River St., SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05108"
"78","Carolina Book Stores","","St. Andrews Blvd","Book Store","","Charleston","SC",1988,"","St. Andrews Blvd, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05109"
"79","Dudley's","(Levi & W)","346 King St.","Bars/Clubs","(W-1972-1989),(P-1965-1989),(PT-1977-1989),(*-1965-2005)","Charleston","SC",1988,"","346 King St., Charleston, SC",32.7848012,-79.9353488,"346 king st, charleston, sc 29401, usa","","Google Verified Location","d-1988-05110"
"80","Fantasy World","(Books, etc.) (N. Charleston)","2270 Harley Ave.","Book Store","","Charleston","SC",1988,"","2270 Harley Ave., Charleston, SC",32.8919704,-80.0128573,"2270 harley st, north charleston, sc 29406, usa","","Google Verified Location","d-1988-05111"
"81","Fifty Folly Place","(803)571-4171","","Hotel","(B&B-1987-1989),(H-1965-1989)","Charleston","SC",1988,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05112"
"82","Mickey's","(at The Mix)","5 Liberty St.","Bars/Clubs","(D-1965-2003)","Charleston","SC",1988,"took address from ""the mix"" on pg 337","5 Liberty St., Charleston, SC",32.782803,-79.9350537,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","","Google Verified Location","d-1988-05113"
"83","St. Joan of Arc M.C.C.","","69 Cannon St.","Religious Institution","(MCC)","Charleston","SC",1988,"","69 Cannon St., Charleston, SC",32.789862,-79.9449102,"69 cannon st, charleston, sc 29403, usa","","Google Verified Location","d-1988-05114"
"84","The Mix, Ltd.","(Disco)","5 Liberty St.","Bars/Clubs","(*-1965-2005),(P-1965-1989),(YC-1969-2005),(D-1965-2003)","Charleston","SC",1988,"","5 Liberty St., Charleston, SC",32.782803,-79.9350537,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","","Google Verified Location","d-1988-05115"
"85","Video Depot","","5750 River Ave.","Business","","Charleston","SC",1988,"","5750 River Ave., Charleston, SC",32.9004183,-80.0170081,"5750 rivers ave, north charleston, sc 29406, usa","","Google Verified Location","d-1988-05116"
"86","Folly Beach","","","Cruising Areas","Cruisy Area","Charleston","SC",1988,"",", SC",32.65518,-79.940367,"unclear_coded_by_hand","checked","Verified Location","d-1988-05117"
"87","The Battery","Whitepoint Gardens","","Cruising Areas","(AYOR-1977-1989),Cruisy Area","Charleston","SC",1988,"",", SC",32.769936,-79.930361,"unclear_coded_by_hand","checked","Verified Location","d-1988-05118"
"88","'Rest Stop'","N. on 1-26","","Cruising Areas","Cruisy Area","Charleston","SC",1988,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05119"
"89","Affairs","","712 Sugar St.","Bars/Clubs","","Columbia","SC",1988,"","712 Sugar St., Columbia, SC",33.871884,-79.42791,"712 sugar st, johnsonville, sc 29555, usa","","Google Verified Location","d-1988-05120"
"90","Candy Shop","(Disco)","1911 Two Notch Rd.","Bars/Clubs","(B-1970-1989),(YC-1969-2005),(D-1965-2003)","Columbia","SC",1988,"","1911 Two Notch Rd., Columbia, SC",34.0179431,-81.0150516,"1911 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1988-05121"
"91","Chateau IV","(Books)","5511 Two Notch Rd.","Book Store","","Columbia","SC",1988,"","5511 Two Notch Rd., Columbia, SC",34.0526299,-80.9816893,"5511 two notch rd, columbia, sc 29223, usa","","Google Verified Location","d-1988-05122"
"92","Encore","","920 Lady St.","Bars/Clubs","(D-1965-2003),(YC-1969-2005),(P-1965-1989)","Columbia","SC",1988,"","920 Lady St., Columbia, SC",34.0013022,-81.0376867,"920 lady st, columbia, sc 29201, usa","","Google Verified Location","d-1988-05123"
"93","Foxes Books","","5445 Two Notch Rd.","Book Store","(F&S-1984-1989)","Columbia","SC",1988,"","5445 Two Notch Rd., Columbia, SC",34.0506524,-80.9847246,"5445 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1988-05124"
"94","Menage","","903 Hunger St.","Bars/Clubs","(P-1965-1989),(S-1965-2002),(E-1975-2003)","Columbia","SC",1988,"","903 Hunger St., Columbia, SC",33.9935712,-81.0435076,"903 huger st, columbia, sc 29201, usa","","Google Verified Location","d-1988-05125"
"95","M.C.C.","","Seminole Rd.","Religious Institution","(MCC)","Columbia","SC",1988,"","Seminole Rd., SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05126"
"96","Richland Adult Books","","2729 Two Notch Rd.","Erotic Shop,Book Store","(F&S-1984-1989)","Columbia","SC",1988,"","2729 Two Notch Rd., Columbia, SC",34.0325185,-81.0064873,"2729 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1988-05127"
"97","Traxx","(Some L)","416 Lincoln St.","Bars/Clubs","(L-1980-1989),(D-1965-2003)","Columbia","SC",1988,"","416 Lincoln St., Columbia, SC",33.9896649,-81.033625,"416 lincoln st, columbia, sc 29201, usa","","Google Verified Location","d-1988-05128"
"98","2 of Hearts","(Mostly L)","3134 Two Notch Rd.","Bars/Clubs","(L-1980-1989)","Columbia","SC",1988,"","3134 Two Notch Rd., Columbia, SC",34.0384045,-81.0016349,"3134 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1988-05129"
"99","Lake Murray Dam","","","Cruising Areas","Cruisy Area","Columbia","SC",1988,"",", SC",34.053204,-81.217875,"unclear_coded_by_hand","checked","Verified Location","d-1988-05130"
"100","'Primrose Path'","Senate St.","","Cruising Areas","Cruisy Area","Columbia","SC",1988,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05131"
"101","'Primrose Path'","grounds adj. to
the Capitol","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Columbia","SC",1988,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05132"
"102","'Rest Stop'","on 1-20 (Lexington County)","","Cruising Areas","Cruisy Area","Columbia","SC",1988,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05133"
"103","'Rest Stop'","on 1-26 S.","","Cruising Areas","Cruisy Area","Columbia","SC",1988,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1988-05134"
